"","id","sex","race","grade"
"1",1,1,1,10
"2",2,2,5,10
"3",3,2,2,10
"4",4,1,1,10
"5",5,2,3,11
"6",6,2,2,11
"7",7,2,2,11
"8",8,1,2,10
"9",9,2,2,9
"10",10,1,1,9
"11",11,1,1,12
"12",12,2,2,9
"13",13,1,2,11
"14",14,1,2,11
"15",15,1,1,9
"16",16,1,2,11
"17",17,2,2,9
"18",18,2,1,10
"19",19,1,3,9
"20",20,1,1,12
"21",21,1,1,11
"22",22,1,2,12
"23",23,2,1,12
"24",24,2,2,10
"25",25,1,2,11
"26",26,2,1,10
"27",27,2,1,10
"28",28,2,1,11
"29",29,2,1,9
"30",30,2,1,9
"31",31,2,2,12
"32",32,2,2,12
"33",33,1,2,9
"34",34,2,1,11
"35",35,1,1,11
"36",36,1,1,9
"37",37,1,1,10
"38",38,2,2,9
"39",39,1,1,11
"40",40,1,3,10
"41",41,1,1,9
"42",42,2,1,9
"43",43,1,1,9
"44",44,2,1,11
"45",45,2,1,11
"46",46,1,1,11
"47",47,2,2,10
"48",48,1,2,11
"49",49,2,2,12
"50",50,2,1,12
"51",51,1,1,11
"52",52,2,1,12
"53",53,2,1,10
"54",54,2,1,10
"55",55,2,1,11
"56",56,1,1,12
"57",57,1,2,12
"58",58,2,1,9
"59",59,2,2,9
"60",60,1,1,12
"61",61,2,5,10
"62",62,2,5,10
"63",63,2,2,12
"64",64,2,3,9
"65",65,2,2,9
"66",66,2,2,9
"67",67,1,1,11
"68",68,1,2,9
"69",69,2,1,12
"70",70,1,1,9
"71",71,2,1,12
"72",72,1,1,9
"73",73,1,1,12
"74",74,2,1,9
"75",75,2,2,11
"76",76,2,3,9
"77",77,1,1,11
"78",78,1,1,11
"79",79,2,2,10
"80",80,2,2,11
"81",81,1,2,9
"82",82,2,2,9
"83",83,2,5,12
"84",84,2,3,9
"85",85,2,1,9
"86",86,1,2,9
"87",87,1,1,11
"88",88,1,2,12
"89",89,2,2,9
"90",90,2,2,12
"91",91,2,2,9
"92",92,1,2,10
"93",93,2,2,11
"94",94,1,1,11
"95",95,2,2,9
"96",96,2,2,11
"97",97,2,1,9
"98",98,1,1,10
"99",99,2,1,10
"100",100,1,2,9
"101",101,2,1,9
"102",102,1,1,12
"103",103,1,1,11
"104",104,2,2,12
"105",105,2,1,12
"106",106,1,1,9
"107",107,2,1,11
"108",108,1,1,9
"109",109,1,1,9
"110",110,2,1,9
"111",111,2,2,10
"112",112,1,1,9
"113",113,1,1,9
"114",114,1,1,9
"115",115,1,1,12
"116",116,2,2,10
"117",117,2,5,10
"118",118,2,1,10
"119",119,1,1,10
"120",120,2,2,10
"121",121,1,2,12
"122",122,1,1,12
"123",123,1,1,9
"124",124,2,2,11
"125",125,2,1,9
"126",126,2,1,10
"127",127,1,2,9
"128",128,2,2,9
"129",129,2,2,12
"130",130,1,3,9
"131",131,1,1,10
"132",132,1,1,12
"133",133,2,1,11
"134",134,2,2,9
"135",135,1,3,10
"136",136,1,1,10
"137",137,2,1,9
"138",138,1,0,9
"139",139,1,3,9
"140",140,2,1,12
"141",141,1,1,9
"142",142,2,2,12
"143",143,2,3,11
"144",144,2,2,11
"145",145,2,2,9
"146",146,2,2,10
"147",147,2,2,12
"148",148,1,2,9
"149",149,2,2,9
"150",150,2,2,11
"151",151,1,2,12
"152",152,1,1,12
"153",153,2,1,11
"154",154,2,5,9
"155",155,1,1,11
"156",156,1,1,11
"157",157,1,2,10
"158",158,2,2,12
"159",159,1,2,0
"160",160,2,5,12
"161",161,2,2,9
"162",162,1,2,10
"163",163,2,1,10
"164",164,2,1,9
"165",165,1,2,10
"166",166,1,5,10
"167",167,1,1,10
"168",168,1,1,9
"169",169,1,5,9
"170",170,2,1,11
"171",171,2,2,9
"172",172,2,1,9
"173",173,0,0,6
"174",174,2,2,11
"175",175,1,3,11
"176",176,2,2,10
"177",177,1,2,9
"178",178,1,2,12
"179",179,1,1,11
"180",180,2,1,10
"181",181,2,1,9
"182",182,1,3,9
"183",183,1,1,11
"184",184,2,1,12
"185",185,1,1,11
"186",186,1,1,10
"187",187,2,2,10
"188",188,2,1,9
"189",189,1,3,12
"190",190,1,1,9
"191",191,2,1,10
"192",192,1,2,9
"193",193,2,3,9
"194",194,2,1,11
"195",195,2,1,10
"196",196,1,2,12
"197",197,1,2,9
"198",198,2,1,11
"199",199,2,1,9
"200",200,1,1,12
"201",201,2,2,9
"202",202,2,1,9
"203",203,1,1,9
"204",204,2,1,11
"205",205,2,1,9
"206",206,2,2,11
"207",207,2,1,9
"208",208,2,1,9
"209",209,1,1,10
"210",210,2,1,9
"211",211,2,1,9
"212",212,2,1,10
"213",213,2,1,10
"214",214,1,1,10
"215",215,1,1,9
"216",216,1,1,9
"217",217,1,5,9
"218",218,2,1,9
"219",219,2,2,9
"220",220,2,1,11
"221",221,1,2,10
"222",222,1,1,11
"223",223,1,1,9
"224",224,1,2,11
"225",225,2,1,11
"226",226,1,2,12
"227",227,1,1,12
"228",228,1,1,10
"229",229,2,2,11
"230",230,2,1,12
"231",231,1,2,10
"232",232,2,3,9
"233",233,2,5,12
"234",234,1,1,9
"235",235,2,5,9
"236",236,2,5,9
"237",237,1,2,10
"238",238,2,5,10
"239",239,2,2,11
"240",240,2,2,11
"241",241,2,2,10
"242",242,1,1,12
"243",243,1,2,9
"244",244,1,1,11
"245",245,2,2,9
"246",246,2,4,9
"247",247,0,0,0
"248",248,2,2,11
"249",249,1,2,9
"250",250,1,1,12
"251",251,1,3,9
"252",252,2,1,11
"253",253,1,2,10
"254",254,2,1,12
"255",255,1,2,9
"256",256,1,2,9
"257",257,2,1,11
"258",258,2,2,10
"259",259,1,2,12
"260",260,2,2,11
"261",261,2,5,10
"262",262,1,2,10
"263",263,2,2,12
"264",264,1,1,9
"265",265,2,5,12
"266",266,1,5,10
"267",267,1,1,11
"268",268,2,1,9
"269",269,1,1,9
"270",270,2,2,9
"271",271,1,4,9
"272",272,1,2,11
"273",273,1,3,10
"274",274,2,1,9
"275",275,1,3,9
"276",276,1,2,9
"277",277,1,1,9
"278",278,1,2,11
"279",279,1,1,11
"280",280,2,1,9
"281",281,2,1,9
"282",282,2,2,9
"283",283,2,2,10
"284",284,1,1,12
"285",285,1,1,11
"286",286,2,1,11
"287",287,1,5,9
"288",288,2,1,9
"289",289,2,5,11
"290",290,1,2,12
"291",291,2,2,10
"292",292,2,1,11
"293",293,2,2,10
"294",294,1,2,11
"295",295,2,1,9
"296",296,1,5,10
"297",297,1,1,12
"298",298,1,1,9
"299",299,1,2,9
"300",300,2,1,12
"301",301,1,1,10
"302",302,1,1,10
"303",303,1,1,9
"304",304,2,2,12
"305",305,2,2,12
"306",306,2,1,12
"307",307,2,1,9
"308",308,2,1,9
"309",309,1,2,10
"310",310,1,2,11
"311",311,2,2,9
"312",312,2,5,9
"313",313,2,3,9
"314",314,2,1,10
"315",315,2,1,12
"316",316,1,2,11
"317",317,2,1,12
"318",318,2,1,9
"319",319,1,1,12
"320",320,2,2,11
"321",321,2,5,11
"322",322,1,1,9
"323",323,1,1,10
"324",324,1,2,10
"325",325,2,2,10
"326",326,2,1,10
"327",327,2,1,12
"328",328,2,1,10
"329",329,1,1,9
"330",330,2,1,9
"331",331,2,1,10
"332",332,2,1,11
"333",333,2,3,11
"334",334,1,1,10
"335",335,2,2,11
"336",336,1,3,10
"337",337,2,5,9
"338",338,1,1,9
"339",339,1,2,11
"340",340,1,1,11
"341",341,2,2,9
"342",342,1,1,11
"343",343,1,1,10
"344",344,1,2,9
"345",345,1,2,9
"346",346,2,2,12
"347",347,2,1,10
"348",348,2,2,10
"349",349,1,1,9
"350",350,1,1,10
"351",351,2,2,9
"352",352,1,1,9
"353",353,1,2,11
"354",354,1,2,9
"355",355,2,1,11
"356",356,2,1,10
"357",357,2,1,9
"358",358,1,5,10
"359",359,1,1,9
"360",360,1,1,12
"361",361,1,2,11
"362",362,1,1,9
"363",363,2,2,10
"364",364,2,2,9
"365",365,2,2,12
"366",366,1,1,10
"367",367,1,1,12
"368",368,1,2,12
"369",369,2,2,11
"370",370,1,2,12
"371",371,1,2,9
"372",372,1,1,12
"373",373,1,2,10
"374",374,1,1,11
"375",375,1,2,9
"376",376,1,5,10
"377",377,2,1,11
"378",378,2,1,10
"379",379,1,5,9
"380",380,1,3,10
"381",381,1,2,10
"382",382,1,5,10
"383",383,2,2,10
"384",384,2,1,9
"385",385,2,1,11
"386",386,2,2,9
"387",387,2,1,12
"388",388,1,2,9
"389",389,2,2,9
"390",390,2,2,12
"391",391,1,1,11
"392",392,1,1,9
"393",393,1,2,12
"394",394,2,2,10
"395",395,1,2,11
"396",396,2,2,12
"397",397,1,2,9
"398",398,1,2,11
"399",399,1,2,10
"400",400,1,4,10
"401",401,1,5,9
"402",402,2,2,9
"403",403,2,2,11
"404",404,1,2,10
"405",405,1,1,12
"406",406,2,2,9
"407",407,1,5,10
"408",408,1,5,10
"409",409,1,1,9
"410",410,2,2,12
"411",411,1,1,12
"412",412,2,2,12
"413",413,1,2,10
"414",414,1,2,12
"415",415,2,2,11
"416",416,1,2,12
"417",417,1,1,9
"418",418,2,1,10
"419",419,1,2,9
"420",420,1,1,12
"421",421,2,1,10
"422",422,1,2,11
"423",423,1,1,11
"424",424,1,5,11
"425",425,1,1,12
"426",426,2,1,9
"427",427,2,1,9
"428",428,2,2,9
"429",429,2,1,10
"430",430,1,2,9
"431",431,1,2,9
"432",432,1,2,10
"433",433,1,2,12
"434",434,1,1,10
"435",435,2,2,12
"436",436,1,2,12
"437",437,1,2,12
"438",438,1,2,9
"439",439,1,1,11
"440",440,2,2,9
"441",441,2,1,10
"442",442,2,3,10
"443",443,2,2,11
"444",444,2,1,9
"445",445,1,2,9
"446",446,1,2,11
"447",447,2,2,10
"448",448,1,1,9
"449",449,2,1,11
"450",450,1,1,9
"451",451,1,1,11
"452",452,1,1,11
"453",453,2,1,10
"454",454,1,5,9
"455",455,1,1,12
"456",456,1,2,9
"457",457,1,2,12
"458",458,2,5,10
"459",459,1,3,11
"460",460,2,2,10
"461",461,1,1,10
"462",462,2,2,10
"463",463,2,1,9
"464",464,1,1,9
"465",465,1,1,9
"466",466,2,1,10
"467",467,2,2,9
"468",468,1,1,10
"469",469,2,2,9
"470",470,2,1,12
"471",471,1,1,10
"472",472,1,1,12
"473",473,1,1,12
"474",474,2,1,10
"475",475,1,1,9
"476",476,1,2,11
"477",477,1,1,12
"478",478,1,1,11
"479",479,1,2,10
"480",480,1,1,10
"481",481,2,1,9
"482",482,2,2,10
"483",483,1,1,12
"484",484,1,1,10
"485",485,2,0,9
"486",486,2,1,12
"487",487,1,1,12
"488",488,2,1,10
"489",489,2,1,9
"490",490,1,2,10
"491",491,1,2,10
"492",492,1,1,9
"493",493,1,1,10
"494",494,1,1,10
"495",495,2,2,9
"496",496,1,1,10
"497",497,2,3,9
"498",498,1,1,12
"499",499,2,1,12
"500",500,2,1,9
"501",501,1,5,9
"502",502,2,2,12
"503",503,1,1,9
"504",504,2,2,11
"505",505,2,1,11
"506",506,1,3,11
"507",507,2,1,10
"508",508,1,1,12
"509",509,2,2,9
"510",510,2,1,9
"511",511,2,2,12
"512",512,2,2,11
"513",513,2,2,11
"514",514,1,2,9
"515",515,1,2,10
"516",516,2,0,9
"517",517,1,1,9
"518",518,1,2,9
"519",519,2,2,10
"520",520,1,5,9
"521",521,1,1,9
"522",522,2,5,12
"523",523,2,1,11
"524",524,1,1,10
"525",525,1,2,9
"526",526,2,2,9
"527",527,2,1,10
"528",528,2,1,11
"529",529,2,1,12
"530",530,2,2,10
"531",531,2,2,12
"532",532,2,2,12
"533",533,1,2,12
"534",534,1,2,10
"535",535,2,2,12
"536",536,1,2,12
"537",537,2,2,12
"538",538,2,2,9
"539",539,1,1,11
"540",540,2,2,9
"541",541,2,1,9
"542",542,1,1,10
"543",543,2,1,9
"544",544,2,1,9
"545",545,1,2,10
"546",546,1,2,10
"547",547,1,1,12
"548",548,1,1,10
"549",549,1,1,10
"550",550,2,2,11
"551",551,1,2,11
"552",552,2,2,9
"553",553,1,1,12
"554",554,1,2,10
"555",555,2,2,11
"556",556,1,0,11
"557",557,2,5,9
"558",558,1,5,11
"559",559,1,2,12
"560",560,1,1,11
"561",561,2,1,10
"562",562,2,2,12
"563",563,2,1,9
"564",564,2,1,9
"565",565,1,1,10
"566",566,2,1,11
"567",567,1,1,12
"568",568,2,1,12
"569",569,2,3,9
"570",570,2,2,12
"571",571,1,1,10
"572",572,1,2,12
"573",573,1,1,10
"574",574,1,2,10
"575",575,1,2,10
"576",576,2,3,11
"577",577,1,2,12
"578",578,0,2,12
"579",579,1,2,9
"580",580,2,5,11
"581",581,1,2,9
"582",582,1,2,12
"583",583,2,2,11
"584",584,2,3,10
"585",585,1,1,10
"586",586,1,2,10
"587",587,1,2,9
"588",588,2,2,9
"589",589,1,1,9
"590",590,1,1,12
"591",591,1,1,9
"592",592,2,2,12
"593",593,2,2,9
"594",594,1,1,9
"595",595,2,2,10
"596",596,2,1,10
"597",597,1,2,10
"598",598,2,1,10
"599",599,2,1,11
"600",600,2,1,9
"601",601,2,1,10
"602",602,1,1,11
"603",603,2,1,10
"604",604,2,1,9
"605",605,2,1,11
"606",606,1,5,10
"607",607,2,2,12
"608",608,2,2,9
"609",609,1,1,11
"610",610,2,1,10
"611",611,2,1,11
"612",612,2,1,9
"613",613,2,5,12
"614",614,2,2,11
"615",615,1,1,11
"616",616,2,2,11
"617",617,1,2,12
"618",618,1,3,12
"619",619,2,1,9
"620",620,1,2,10
"621",621,2,2,11
"622",622,1,2,11
"623",623,1,1,9
"624",624,2,2,9
"625",625,2,1,9
"626",626,2,2,12
"627",627,1,2,12
"628",628,2,2,9
"629",629,1,2,12
"630",630,2,1,9
"631",631,2,3,10
"632",632,2,5,9
"633",633,1,1,10
"634",634,2,1,9
"635",635,2,1,9
"636",636,2,1,10
"637",637,2,1,9
"638",638,2,2,9
"639",639,2,1,9
"640",640,2,1,11
"641",641,1,1,10
"642",642,1,5,9
"643",643,1,3,11
"644",644,2,1,12
"645",645,1,1,11
"646",646,1,2,9
"647",647,1,1,9
"648",648,1,1,12
"649",649,2,1,9
"650",650,1,5,11
"651",651,2,1,12
"652",652,1,1,11
"653",653,2,1,12
"654",654,2,1,10
"655",655,2,2,9
"656",656,2,1,12
"657",657,1,2,9
"658",658,1,1,10
"659",659,2,1,9
"660",660,2,2,9
"661",661,1,5,10
"662",662,1,1,12
"663",663,1,2,10
"664",664,2,1,9
"665",665,2,2,9
"666",666,2,1,0
"667",667,1,1,10
"668",668,2,2,10
"669",669,1,1,10
"670",670,2,2,9
"671",671,2,2,11
"672",672,2,1,12
"673",673,1,2,9
"674",674,1,3,9
"675",675,2,1,9
"676",676,2,1,9
"677",677,1,1,11
"678",678,2,1,9
"679",679,2,1,11
"680",680,1,2,12
"681",681,2,5,10
"682",682,2,1,12
"683",683,1,1,11
"684",684,1,1,12
"685",685,1,5,11
"686",686,1,5,7
"687",687,1,2,7
"688",688,2,1,7
"689",689,1,2,7
"690",690,1,5,8
"691",691,2,1,7
"692",692,1,1,8
"693",693,1,0,7
"694",694,2,1,7
"695",695,1,1,7
"696",696,2,1,7
"697",697,1,2,8
"698",698,2,1,8
"699",699,1,2,8
"700",700,1,1,7
"701",701,1,2,7
"702",702,2,1,7
"703",703,2,2,8
"704",704,1,1,7
"705",705,1,2,8
"706",706,2,1,8
"707",707,2,3,7
"708",708,1,5,7
"709",709,2,2,8
"710",710,1,1,7
"711",711,2,1,7
"712",712,1,2,7
"713",713,1,1,7
"714",714,1,1,8
"715",715,1,2,7
"716",716,1,2,7
"717",717,1,2,7
"718",718,1,1,8
"719",719,2,2,8
"720",720,2,1,8
"721",721,1,1,8
"722",722,1,1,7
"723",723,1,1,7
"724",724,2,1,8
"725",725,2,1,7
"726",726,2,1,8
"727",727,1,1,8
"728",728,2,2,8
"729",729,1,2,7
"730",730,2,1,8
"731",731,2,2,7
"732",732,1,1,7
"733",733,1,2,8
"734",734,2,2,7
"735",735,2,2,8
"736",736,1,2,7
"737",737,1,2,8
"738",738,2,3,7
"739",739,2,1,8
"740",740,2,2,7
"741",741,2,1,7
"742",742,1,5,8
"743",743,2,1,7
"744",744,2,1,8
"745",745,2,2,8
"746",746,2,2,8
"747",747,1,2,0
"748",748,1,2,8
"749",749,1,3,7
"750",750,2,1,8
"751",751,2,1,7
"752",752,2,2,7
"753",753,2,2,8
"754",754,1,5,7
"755",755,2,1,8
"756",756,2,1,8
"757",757,2,1,8
"758",758,2,3,7
"759",759,1,2,7
"760",760,1,2,8
"761",761,2,3,8
"762",762,1,2,8
"763",763,2,5,8
"764",764,1,2,8
"765",765,2,2,7
"766",766,1,5,8
"767",767,1,1,8
"768",768,2,1,8
"769",769,1,2,7
"770",770,1,5,8
"771",771,2,1,7
"772",772,1,5,7
"773",773,2,2,8
"774",774,1,1,7
"775",775,1,1,8
"776",776,1,1,7
"777",777,2,2,7
"778",778,1,2,7
"779",779,1,0,7
"780",780,2,1,7
"781",781,2,3,8
"782",782,1,1,7
"783",783,1,1,8
"784",784,1,1,8
"785",785,1,1,7
"786",786,1,1,8
"787",787,2,1,8
"788",788,2,1,8
"789",789,2,2,7
"790",790,1,1,8
"791",791,2,1,7
"792",792,2,1,8
"793",793,2,2,8
"794",794,2,2,8
"795",795,2,3,7
"796",796,1,1,8
"797",797,1,2,7
"798",798,1,1,7
"799",799,2,1,7
"800",800,2,3,8
"801",801,1,5,8
"802",802,1,2,7
"803",803,2,5,7
"804",804,2,2,8
"805",805,1,2,8
"806",806,2,2,8
"807",807,2,1,8
"808",808,2,2,8
"809",809,2,1,7
"810",810,2,1,7
"811",811,1,2,8
"812",812,1,0,7
"813",813,2,5,7
"814",814,1,2,8
"815",815,2,3,8
"816",816,0,0,0
"817",817,1,2,7
"818",818,1,2,8
"819",819,2,5,7
"820",820,2,1,7
"821",821,1,1,8
"822",822,1,1,7
"823",823,2,1,7
"824",824,1,2,7
"825",825,2,5,7
"826",826,1,5,8
"827",827,1,1,7
"828",828,1,1,8
"829",829,2,3,7
"830",830,2,1,8
"831",831,2,1,7
"832",832,1,1,8
"833",833,2,1,8
"834",834,2,1,8
"835",835,2,1,8
"836",836,2,2,7
"837",837,2,1,0
"838",838,1,2,8
"839",839,1,1,7
"840",840,1,2,8
"841",841,1,2,7
"842",842,1,1,8
"843",843,2,2,7
"844",844,1,2,7
"845",845,1,2,7
"846",846,2,0,7
"847",847,1,1,8
"848",848,2,5,8
"849",849,1,1,8
"850",850,0,2,8
"851",851,1,2,8
"852",852,2,2,7
"853",853,2,2,7
"854",854,2,3,7
"855",855,1,1,7
"856",856,2,2,7
"857",857,1,2,8
"858",858,2,5,7
"859",859,1,2,8
"860",860,2,2,8
"861",861,1,2,8
"862",862,2,2,8
"863",863,2,2,7
"864",864,2,3,7
"865",865,1,2,7
"866",866,2,1,8
"867",867,1,1,7
"868",868,2,1,7
"869",869,2,2,8
"870",870,2,1,8
"871",871,2,2,7
"872",872,2,1,8
"873",873,1,1,8
"874",874,1,2,8
"875",875,2,1,8
"876",876,2,1,8
"877",877,2,2,7
"878",878,1,2,7
"879",879,1,1,8
"880",880,0,0,0
"881",881,1,3,7
"882",882,1,1,8
"883",883,1,2,8
"884",884,1,2,7
"885",885,1,2,7
"886",886,1,2,7
"887",887,2,2,8
"888",888,1,3,8
"889",889,1,2,8
"890",890,2,1,8
"891",891,2,2,8
"892",892,2,1,7
"893",893,2,1,8
"894",894,2,1,7
"895",895,1,1,8
"896",896,2,1,7
"897",897,2,2,8
"898",898,2,1,8
"899",899,2,2,8
"900",900,2,2,8
"901",901,2,1,8
"902",902,1,1,7
"903",903,1,5,8
"904",904,2,2,8
"905",905,1,1,8
"906",906,1,5,8
"907",907,2,1,7
"908",908,2,2,7
"909",909,2,5,8
"910",910,2,1,8
"911",911,1,1,8
"912",912,1,1,7
"913",913,1,0,8
"914",914,1,5,7
"915",915,1,1,7
"916",916,2,2,8
"917",917,2,1,8
"918",918,1,1,7
"919",919,1,1,8
"920",920,1,2,7
"921",921,1,2,8
"922",922,1,2,8
"923",923,2,5,7
"924",924,1,2,8
"925",925,1,1,8
"926",926,1,3,7
"927",927,1,2,8
"928",928,2,2,7
"929",929,2,2,7
"930",930,2,2,8
"931",931,1,1,8
"932",932,2,3,7
"933",933,1,2,8
"934",934,1,1,8
"935",935,1,1,7
"936",936,2,2,8
"937",937,1,2,7
"938",938,1,2,7
"939",939,2,2,7
"940",940,1,1,8
"941",941,1,1,8
"942",942,2,2,8
"943",943,2,2,8
"944",944,2,3,7
"945",945,2,3,7
"946",946,2,2,8
"947",947,2,1,7
"948",948,1,2,8
"949",949,1,3,8
"950",950,1,5,7
"951",951,1,3,7
"952",952,1,1,7
"953",953,1,2,8
"954",954,1,1,7
"955",955,2,2,8
"956",956,1,1,7
"957",957,1,1,8
"958",958,1,2,8
"959",959,1,1,8
"960",960,1,3,8
"961",961,1,2,8
"962",962,1,2,7
"963",963,1,5,8
"964",964,1,2,8
"965",965,2,2,7
"966",966,1,1,8
"967",967,2,2,8
"968",968,2,2,8
"969",969,1,3,7
"970",970,1,1,7
"971",971,1,2,7
"972",972,2,2,8
"973",973,1,2,8
"974",974,1,1,7
"975",975,2,1,7
"976",976,2,5,8
"977",977,1,2,7
"978",978,2,1,7
"979",979,2,1,8
"980",980,1,2,8
"981",981,2,2,7
"982",982,2,1,8
"983",983,1,1,8
"984",984,2,2,7
"985",985,2,1,8
"986",986,1,1,8
"987",987,2,1,8
"988",988,2,1,8
"989",989,1,1,8
"990",990,2,1,7
"991",991,1,1,8
"992",992,1,1,8
"993",993,1,1,7
"994",994,1,1,8
"995",995,1,1,0
"996",996,1,5,7
"997",997,1,1,8
"998",998,1,5,8
"999",999,1,2,7
"1000",1000,1,1,7
"1001",1001,2,1,8
"1002",1002,1,1,8
"1003",1003,1,1,8
"1004",1004,2,5,7
"1005",1005,2,1,7
"1006",1006,2,1,7
"1007",1007,1,1,7
"1008",1008,1,1,8
"1009",1009,1,1,8
"1010",1010,1,3,8
"1011",1011,2,1,7
"1012",1012,1,5,7
"1013",1013,2,1,7
"1014",1014,2,1,7
"1015",1015,2,2,8
"1016",1016,1,1,8
"1017",1017,1,1,7
"1018",1018,2,5,8
"1019",1019,2,5,7
"1020",1020,2,1,7
"1021",1021,1,0,8
"1022",1022,1,1,8
"1023",1023,1,1,7
"1024",1024,1,1,7
"1025",1025,1,2,7
"1026",1026,1,2,8
"1027",1027,2,1,7
"1028",1028,2,1,8
"1029",1029,1,2,8
"1030",1030,1,1,7
"1031",1031,2,2,7
"1032",1032,2,1,8
"1033",1033,1,5,7
"1034",1034,2,1,7
"1035",1035,2,1,8
"1036",1036,1,1,8
"1037",1037,2,1,8
"1038",1038,2,1,8
"1039",1039,1,5,8
"1040",1040,1,1,8
"1041",1041,2,5,8
"1042",1042,1,1,8
"1043",1043,0,0,7
"1044",1044,1,1,8
"1045",1045,1,1,7
"1046",1046,1,1,7
"1047",1047,2,1,7
"1048",1048,1,2,7
"1049",1049,2,2,8
"1050",1050,2,1,8
"1051",1051,2,2,7
"1052",1052,1,1,7
"1053",1053,2,5,8
"1054",1054,2,2,7
"1055",1055,1,2,8
"1056",1056,2,1,7
"1057",1057,1,1,7
"1058",1058,1,2,8
"1059",1059,2,2,8
"1060",1060,2,2,7
"1061",1061,1,1,8
"1062",1062,1,2,8
"1063",1063,1,1,8
"1064",1064,1,3,7
"1065",1065,1,1,7
"1066",1066,2,1,8
"1067",1067,2,3,7
"1068",1068,2,1,8
"1069",1069,1,2,8
"1070",1070,2,5,7
"1071",1071,2,2,8
"1072",1072,2,2,8
"1073",1073,2,3,7
"1074",1074,1,1,7
"1075",1075,1,2,7
"1076",1076,1,2,8
"1077",1077,1,1,8
"1078",1078,2,1,7
"1079",1079,2,1,7
"1080",1080,1,2,8
"1081",1081,2,2,8
"1082",1082,2,2,8
"1083",1083,1,5,8
"1084",1084,1,2,7
"1085",1085,2,2,7
"1086",1086,1,5,8
"1087",1087,1,2,8
"1088",1088,2,1,8
"1089",1089,2,2,7
"1090",1090,2,2,8
"1091",1091,1,1,7
"1092",1092,1,2,8
"1093",1093,2,1,7
"1094",1094,1,1,7
"1095",1095,2,2,7
"1096",1096,2,1,8
"1097",1097,1,5,7
"1098",1098,1,2,7
"1099",1099,1,1,8
"1100",1100,2,1,8
"1101",1101,1,5,8
"1102",1102,2,2,8
"1103",1103,2,3,7
"1104",1104,1,2,7
"1105",1105,2,1,8
"1106",1106,1,2,7
"1107",1107,1,2,8
"1108",1108,2,2,7
"1109",1109,2,1,7
"1110",1110,1,1,7
"1111",1111,2,2,8
"1112",1112,1,2,7
"1113",1113,2,2,8
"1114",1114,2,1,7
"1115",1115,2,2,8
"1116",1116,1,2,7
"1117",1117,1,5,8
"1118",1118,1,2,7
"1119",1119,2,1,8
"1120",1120,2,2,7
"1121",1121,1,2,8
"1122",1122,1,2,7
"1123",1123,1,3,8
"1124",1124,1,2,8
"1125",1125,1,3,7
"1126",1126,2,3,8
"1127",1127,2,5,8
"1128",1128,1,1,8
"1129",1129,2,1,8
"1130",1130,1,2,7
"1131",1131,2,2,8
"1132",1132,2,2,8
"1133",1133,1,2,8
"1134",1134,2,1,8
"1135",1135,1,2,8
"1136",1136,2,2,8
"1137",1137,2,1,7
"1138",1138,1,2,8
"1139",1139,1,2,8
"1140",1140,1,1,7
"1141",1141,1,2,7
"1142",1142,2,1,7
"1143",1143,2,4,7
"1144",1144,2,1,7
"1145",1145,2,1,8
"1146",1146,2,2,7
"1147",1147,1,1,7
